csd_code,year,population
3518020,2013,22257
3518029,2013,21493
3518039,2013,11675
3520005,2014,2788656
3521005,2014,740041
3521010,2014,582090
3519036,2014,331712
3519028,2014,311060
3524001,2014,194112
3519038,2014,198822
3524002,2014,185546
3518013,2014,159162
3518009,2014,130903
3524009,2014,105609
3518005,2014,119681
3518017,2014,91648
3518001,2014,92953
3519048,2014,86056
3521024,2014,65219
3524015,2014,61837
3519046,2014,55096
3519044,2014,44934
3519070,2014,45554
3519054,2014,23637
3519049,2014,23114
3518020,2014,22126
3518029,2014,21509
3518039,2014,11707
3520005,2015,2800240
3521005,2015,738232
3521010,2015,596008
3519036,2015,335813
3519028,2015,313124
3524001,2015,196442
3519038,2015,199920
3524002,2015,186615
3518013,2015,161270
3518009,2015,131374
3524009,2015,109909
3518005,2015,122017
3518017,2015,93125
3518001,2015,93703
3519048,2015,86110
3521024,2015,66229
3524015,2015,62282
3519046,2015,55632
3519044,2015,45790
3519070,2015,46000
3519054,2015,24237
3519049,2015,24325
3518020,2015,22169
3518029,2015,21850
3518039,2015,11803
3520005,2016,2822610
3521005,2016,744011
3521010,2016,615190
3519036,2016,338936
3519028,2016,315669
3524001,2016,199674
3519038,2016,200677
3524002,2016,188512
3518013,2016,164738
3518009,2016,132335
3524009,2016,114355
3518005,2016,123693
3518017,2016,95099
3518001,2016,94605
3519048,2016,86790
3521024,2016,68896
3524015,2016,62992
3519046,2016,57297
3519044,2016,47409
3519070,2016,46882
3519054,2016,24796
3519049,2016,25342
3518020,2016,22162
3518029,2016,21705
3518039,2016,11956
3520005,2017,2856557
3521005,2017,747600
3521010,2017,631618
3519036,2017,338876
3519028,2017,317764
3524001,2017,202934
3519038,2017,200180
3524002,2017,189081
3518013,2017,167078
3518009,2017,133923
3524009,2017,118132
3518005,2017,124724
3518017,2017,97471
3518001,2017,95749
3519048,2017,87348
3521024,2017,71921
3524015,2017,63727
3519046,2017,59189
3519044,2017,48194
3519070,2017,47463
3519054,2017,26460
3519049,2017,25804
3518020,2017,22141
3518029,2017,21969
3518039,2017,12024
3520005,2018,2903971
3521005,2018,752117
3521010,2018,652892
3519036,2018,341063
3519028,2018,322152
3524001,2018,208381
3519038,2018,201319
3524002,2018,190144
3518013,2018,171154
3518009,2018,135078
3524009,2018,123238
3518005,2018,126296
3518017,2018,99513
3518001,2018,97058
3519048,2018,88031
3521024,2018,74087
3524015,2018,63961
3519046,2018,60889
3519044,2018,48980
3519070,2018,47781
3519054,2018,30038
3519049,2018,26800
3518020,2018,22090
3518029,2018,22231
3518039,2018,12151
3520005,2019,2939364
3521005,2019,761192
3521010,2019,673296
3519036,2019,347690
3519028,2019,329058
3524001,2019,214200
3519038,2019,205806
3524002,2019,192509
3518013,2019,175771
3518009,2019,136971
3524009,2019,129022
3518005,2019,128937
3518017,2019,101138
3518001,2019,98891
3519048,2019,89585
3521024,2019,75578
3524015,2019,64908
3519046,2019,62345
3519044,2019,49971
3519070,2019,48407
3519054,2019,31654
3519049,2019,27663
3518020,2019,22112
3518029,2019,22312
3518039,2019,12437
3520005,2020,2952366
3521005,2020,758665
3521010,2020,688154
3519036,2020,351799
3519028,2020,333632
3524001,2020,219028
3519038,2020,209062
3524002,2020,193853
3518013,2020,180116
3518009,2020,140662
3524009,2020,135129
3518005,2020,131297
3518017,2020,103207
3518001,2020,101596
3519048,2020,91012
3521024,2020,77923
3524015,2020,65388
3519046,2020,63634
3519044,2020,50813
3519070,2020,48993
3519054,2020,34315
3519049,2020,28089
3518020,2020,22086
3518029,2020,22238
3518039,2020,12636
3520005,2021,2917666
3521005,2021,747057
3521010,2021,687462
3519036,2021,351943
3519028,2021,336482
3524001,2021,222225
3519038,2021,210046
3524002,2021,193848
3518013,2021,183273
3518009,2021,144558
3524009,2021,138930
3518005,2021,132184
3518017,2021,105906
3518001,2021,103593
3519048,2021,91487
3521024,2021,79947
3524015,2021,65417
3519046,2021,64607
3519044,2021,51878
3519070,2021,49617
3519054,2021,36311
3519049,2021,28380
3518020,2021,22397
3518029,2021,22367
3518039,2021,13144
3520005,2022,2988742
3521005,2022,748760
3521010,2022,702213
3519036,2022,352745
3519028,2022,339534
3524001,2022,226776
3519038,2022,210393
3524002,2022,194803
3518013,2022,188625
3518009,2022,149559
3524009,2022,142627
3518005,2022,133401
3518017,2022,109305
3518001,2022,105758
3519048,2022,91822
3521024,2022,82637
3524015,2022,66331
3519046,2022,65063
3519044,2022,53492
3519070,2022,50690
3519054,2022,38002
3519049,2022,28841
3518020,2022,22999
3518029,2022,22456
3518039,2022,13486
3520005,2023,3134010
3521005,2023,762508
3521010,2023,744063
3519036,2023,358953
