csd_code,municipality,region,year,survey_month,bedroom_type,vacancy_rate_pct,quality_flag,quality_level
3518005,Ajax,Durham,2013,October,1 Bedroom,1.4,d,Poor (use with caution)
3518005,Ajax,Durham,2013,October,2 Bedroom,1.2,a,Excellent
3518005,Ajax,Durham,2013,October,3 Bedroom,1.9,b,Very good
3518005,Ajax,Durham,2013,October,Total,1.4,a,Excellent
3518005,Ajax,Durham,2014,October,1 Bedroom,0.0,c,Good
3518005,Ajax,Durham,2014,October,2 Bedroom,1.3,a,Excellent
3518005,Ajax,Durham,2014,October,3 Bedroom,1.5,a,Excellent
3518005,Ajax,Durham,2014,October,Total,1.3,a,Excellent
3518005,Ajax,Durham,2015,October,1 Bedroom,0.0,a,Excellent
3518005,Ajax,Durham,2015,October,2 Bedroom,1.1,a,Excellent
3518005,Ajax,Durham,2015,October,3 Bedroom,1.0,a,Excellent
3518005,Ajax,Durham,2015,October,Total,1.0,a,Excellent
3518005,Ajax,Durham,2016,October,1 Bedroom,0.0,d,Poor (use with caution)
3518005,Ajax,Durham,2016,October,2 Bedroom,6.7,b,Very good
3518005,Ajax,Durham,2016,October,3 Bedroom,4.5,b,Very good
3518005,Ajax,Durham,2016,October,Total,5.9,b,Very good
3518005,Ajax,Durham,2017,October,1 Bedroom,0.0,d,Poor (use with caution)
3518005,Ajax,Durham,2017,October,2 Bedroom,1.7,b,Very good
3518005,Ajax,Durham,2017,October,3 Bedroom,0.9,a,Excellent
3518005,Ajax,Durham,2017,October,Total,1.3,a,Excellent
3518005,Ajax,Durham,2018,October,1 Bedroom,0.0,a,Excellent
3518005,Ajax,Durham,2018,October,2 Bedroom,0.5,a,Excellent
3518005,Ajax,Durham,2018,October,3 Bedroom,1.0,a,Excellent
3518005,Ajax,Durham,2018,October,Total,0.6,a,Excellent
3518005,Ajax,Durham,2019,October,1 Bedroom,2.7,a,Excellent
3518005,Ajax,Durham,2019,October,2 Bedroom,2.3,c,Good
3518005,Ajax,Durham,2019,October,Total,2.0,c,Good
3518005,Ajax,Durham,2020,October,2 Bedroom,2.0,c,Good
3518005,Ajax,Durham,2020,October,3 Bedroom,0.8,a,Excellent
3518005,Ajax,Durham,2020,October,Total,1.7,c,Good
3518005,Ajax,Durham,2021,October,Total,1.9,c,Good
3518005,Ajax,Durham,2022,October,2 Bedroom,0.3,b,Very good
3518005,Ajax,Durham,2022,October,3 Bedroom,0.0,d,Poor (use with caution)
3518005,Ajax,Durham,2022,October,Total,0.2,b,Very good
3518005,Ajax,Durham,2023,October,1 Bedroom,2.0,c,Good
3518005,Ajax,Durham,2023,October,2 Bedroom,0.7,a,Excellent
3518005,Ajax,Durham,2023,October,3 Bedroom,0.5,a,Excellent
3518005,Ajax,Durham,2023,October,Total,0.7,a,Excellent
3518005,Ajax,Durham,2024,October,2 Bedroom,1.5,a,Excellent
3518005,Ajax,Durham,2024,October,3 Bedroom,0.3,b,Very good
3518005,Ajax,Durham,2024,October,Total,1.2,a,Excellent
3518005,Ajax,Durham,2025,October,1 Bedroom,0.0,d,Poor (use with caution)
3518005,Ajax,Durham,2025,October,2 Bedroom,2.4,c,Good
3518005,Ajax,Durham,2025,October,3 Bedroom,0.9,a,Excellent
3518005,Ajax,Durham,2025,October,Total,2.0,c,Good
3518009,Whitby,Durham,1990,October,1 Bedroom,2.5,b,Very good
3518009,Whitby,Durham,1990,October,2 Bedroom,1.4,a,Excellent
3518009,Whitby,Durham,1990,October,3 Bedroom,0.0,c,Good
3518009,Whitby,Durham,1990,October,Studio,5.1,b,Very good
3518009,Whitby,Durham,1990,October,Total,1.8,b,Very good
3518009,Whitby,Durham,1991,October,1 Bedroom,3.5,c,Good
3518009,Whitby,Durham,1991,October,2 Bedroom,3.3,b,Very good
3518009,Whitby,Durham,1991,October,3 Bedroom,0.2,a,Excellent
3518009,Whitby,Durham,1991,October,Studio,10.7,d,Poor (use with caution)
3518009,Whitby,Durham,1991,October,Total,3.3,b,Very good
3518009,Whitby,Durham,1992,October,1 Bedroom,8.0,b,Very good
3518009,Whitby,Durham,1992,October,2 Bedroom,13.2,c,Good
3518009,Whitby,Durham,1992,October,3 Bedroom,16.3,d,Poor (use with caution)
3518009,Whitby,Durham,1992,October,Total,11.6,c,Good
3518009,Whitby,Durham,1993,October,1 Bedroom,4.5,c,Good
3518009,Whitby,Durham,1993,October,2 Bedroom,5.1,c,Good
3518009,Whitby,Durham,1993,October,3 Bedroom,17.5,d,Poor (use with caution)
3518009,Whitby,Durham,1993,October,Studio,9.3,c,Good
3518009,Whitby,Durham,1993,October,Total,7.1,c,Good
3518009,Whitby,Durham,1994,October,1 Bedroom,1.7,c,Good
3518009,Whitby,Durham,1994,October,2 Bedroom,2.5,b,Very good
3518009,Whitby,Durham,1994,October,3 Bedroom,14.8,d,Poor (use with caution)
3518009,Whitby,Durham,1994,October,Studio,3.2,d,Poor (use with caution)
3518009,Whitby,Durham,1994,October,Total,4.1,c,Good
3518009,Whitby,Durham,1995,October,1 Bedroom,2.0,b,Very good
3518009,Whitby,Durham,1995,October,2 Bedroom,1.4,a,Excellent
3518009,Whitby,Durham,1995,October,Studio,6.1,c,Good
3518009,Whitby,Durham,1995,October,Total,1.8,b,Very good
3518009,Whitby,Durham,1996,October,1 Bedroom,2.1,c,Good
3518009,Whitby,Durham,1996,October,2 Bedroom,3.1,c,Good
3518009,Whitby,Durham,1996,October,3 Bedroom,5.4,c,Good
3518009,Whitby,Durham,1996,October,Studio,4.3,c,Good
3518009,Whitby,Durham,1996,October,Total,3.2,b,Very good
3518009,Whitby,Durham,1997,October,1 Bedroom,2.2,b,Very good
3518009,Whitby,Durham,1997,October,2 Bedroom,1.1,a,Excellent
3518009,Whitby,Durham,1997,October,3 Bedroom,3.2,b,Very good
3518009,Whitby,Durham,1997,October,Studio,1.5,a,Excellent
3518009,Whitby,Durham,1997,October,Total,1.8,a,Excellent
3518009,Whitby,Durham,1998,October,1 Bedroom,1.5,a,Excellent
3518009,Whitby,Durham,1998,October,2 Bedroom,0.9,a,Excellent
3518009,Whitby,Durham,1998,October,3 Bedroom,1.7,b,Very good
3518009,Whitby,Durham,1998,October,Total,1.3,a,Excellent
3518009,Whitby,Durham,1999,October,1 Bedroom,1.1,a,Excellent
3518009,Whitby,Durham,1999,October,2 Bedroom,0.5,a,Excellent
3518009,Whitby,Durham,1999,October,3 Bedroom,0.0,c,Good
3518009,Whitby,Durham,1999,October,Studio,1.7,c,Good
3518009,Whitby,Durham,1999,October,Total,0.7,a,Excellent
3518009,Whitby,Durham,2000,October,1 Bedroom,0.3,b,Very good
3518009,Whitby,Durham,2000,October,2 Bedroom,0.8,a,Excellent
3518009,Whitby,Durham,2000,October,3 Bedroom,4.9,b,Very good
3518009,Whitby,Durham,2000,October,Total,1.2,a,Excellent
3518009,Whitby,Durham,2001,October,1 Bedroom,0.1,b,Very good
3518009,Whitby,Durham,2001,October,2 Bedroom,0.2,a,Excellent
3518009,Whitby,Durham,2001,October,3 Bedroom,0.0,c,Good
3518009,Whitby,Durham,2001,October,Studio,0.0,c,Good
3518009,Whitby,Durham,2001,October,Total,0.1,a,Excellent
3518009,Whitby,Durham,2002,October,1 Bedroom,0.6,a,Excellent
3518009,Whitby,Durham,2002,October,2 Bedroom,1.7,c,Good
3518009,Whitby,Durham,2002,October,3 Bedroom,2.5,b,Very good
3518009,Whitby,Durham,2002,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2002,October,Total,1.3,a,Excellent
3518009,Whitby,Durham,2003,October,2 Bedroom,4.9,c,Good
3518009,Whitby,Durham,2003,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2003,October,Total,4.1,c,Good
3518009,Whitby,Durham,2004,October,1 Bedroom,2.9,c,Good
3518009,Whitby,Durham,2004,October,2 Bedroom,1.9,b,Very good
3518009,Whitby,Durham,2004,October,3 Bedroom,2.1,c,Good
3518009,Whitby,Durham,2004,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2004,October,Total,2.2,b,Very good
3518009,Whitby,Durham,2005,October,1 Bedroom,2.8,b,Very good
3518009,Whitby,Durham,2005,October,2 Bedroom,3.3,c,Good
3518009,Whitby,Durham,2005,October,3 Bedroom,2.3,b,Very good
3518009,Whitby,Durham,2005,October,Studio,0.0,d,Poor (use with caution)
3518009,Whitby,Durham,2005,October,Total,2.9,a,Excellent
3518009,Whitby,Durham,2006,October,1 Bedroom,4.5,c,Good
3518009,Whitby,Durham,2006,October,2 Bedroom,2.4,c,Good
3518009,Whitby,Durham,2006,October,3 Bedroom,2.4,c,Good
