REF_DATE,GEO,DGUID,Residence on or off reserve (3),Household type including census family structure (9),Statistics (3C),Shelter-cost-to-income ratio (5),Coordinate,Tenure including presence of mortgage payments and subsidized housing (8):Total - Tenure including presence of mortgage payments and subsidized housing[1],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Owner[2],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):With mortgage[3],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Without mortgage[4],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Renter[5],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Subsidized housing[6],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Not subsidized housing[7],Symbol,"Tenure including presence of mortgage payments and subsidized housing (8):Dwelling provided by the local government, First Nation or Indian band[8]",Symbol
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,30% to less than 100%,1.1.5.3.4,401566,,242245,,209677,,33037,,160196,,8305,,152177,,182,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,Not applicable,1.1.5.3.5,6506,,2720,,1353,,1449,,3895,,178,,3755,,29,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Number of private households,Total - Shelter-cost-to-income ratio,1.1.6.1.1,3755100,,3041245,,2381680,,659560,,697900,,54725,,643170,,15965,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Number of private households,Spending less than 30% of income on shelter costs,1.1.6.1.2,3293070,,2711185,,2060510,,650675,,566270,,48505,,517760,,15610,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Number of private households,Spending 30% or more of income on shelter costs,1.1.6.1.3,456170,,328205,,319825,,8375,,127625,,6090,,121535,,340,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Number of private households,30% to less than 100%,1.1.6.1.4,421250,,306565,,299705,,6860,,114405,,5520,,108885,,280,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Number of private households,Not applicable,1.1.6.1.5,5865,,1850,,1345,,505,,4005,,130,,3875,,10,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.6.2.1,3752097,,3037784,,2377152,,656806,,695572,,54067,,640720,,15783,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,1.1.6.2.2,3289233,,2707429,,2055952,,647759,,564135,,47837,,515595,,15428,
2021,Canada,2021A000011124,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,1.1.6.2.3,453742,,325942,,317653,,8065,,126429,,5811,,120400,,311,
