REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1993-04,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,88.2,,,,1
1993-04,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.3,,,,1
1993-04,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.4,,,,1
1993-04,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,85.4,,,,1
1993-04,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,85.7,,,,1
1993-04,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.9,,,,1
1993-04,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,87.0,,,,1
1993-04,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,83.6,,,,1
1993-05,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.4,,,,1
1993-05,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.9,,,,1
1993-05,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,88.1,,,,1
1993-05,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,88.2,,,,1
1993-05,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.4,,,,1
1993-05,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.2,,,,1
1993-05,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,85.7,,,,1
1993-05,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,85.8,,,,1
1993-05,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.9,,,,1
1993-05,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.6,,,,1
1993-05,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,83.7,,,,1
1993-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.4,,,,1
1993-06,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.9,,,,1
1993-06,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,88.2,,,,1
1993-06,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,88.4,,,,1
1993-06,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.6,,,,1
1993-06,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.3,,,,1
1993-06,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,85.8,,,,1
1993-06,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,86.0,,,,1
1993-06,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,84.1,,,,1
1993-06,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.8,,,,1
1993-06,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,84.0,,,,1
1993-07,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.6,,,,1
1993-07,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.9,,,,1
1993-07,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,88.4,,,,1
1993-07,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,88.5,,,,1
1993-07,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.8,,,,1
1993-07,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.4,,,,1
1993-07,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,86.0,,,,1
1993-07,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,86.1,,,,1
1993-07,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,84.4,,,,1
