REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2005,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,51239,,,,0
2005,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,90724,,,,0
2005,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,79482,,,,0
2005,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,91544,,,,0
2005,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,76553,,,,0
2005,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,58516,,,,0
2005,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,56371,,,,0
2005,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,48585,,,,0
2005,"Whitchurch-Stouffville (T), Ontario",2021A00053519044,Persons,249,units,0,v1592182766,2174,25061,,,,0
2005,"Georgina (T), Ontario",2021A00053519070,Persons,249,units,0,v1592182771,2177,43962,,,,0
2005,"East Gwillimbury (T), Ontario",2021A00053519054,Persons,249,units,0,v1592182770,2187,22043,,,,0
2005,"King (TP), Ontario",2021A00053519049,Persons,249,units,0,v1592182769,2196,20216,,,,0
2005,"Scugog (TP), Ontario",2021A00053518020,Persons,249,units,0,v1592182759,2212,21996,,,,0
2005,"Uxbridge (TP), Ontario",2021A00053518029,Persons,249,units,0,v1592182761,2214,19540,,,,0
2005,"Brock (TP), Ontario",2021A00053518039,Persons,249,units,0,v1592182762,2255,12424,,,,0
2006,Canada,2021A00001124,Persons,249,units,0,v1592180531,1,32571193,,,,0
2006,Ontario,2021A000235,Persons,249,units,0,v1592180537,2130,12661953,,,,0
2006,"Toronto (C), Ontario",2021A00053520005,Persons,249,units,0,v1592182773,2132,2608715,,,,0
2006,"Mississauga (CY), Ontario",2021A00053521005,Persons,249,units,0,v1592182774,2134,697889,,,,0
2006,"Brampton (CY), Ontario",2021A00053521010,Persons,249,units,0,v1592182775,2135,456114,,,,0
2006,"Markham (CY), Ontario",2021A00053519036,Persons,249,units,0,v1592182764,2138,273609,,,,0
2006,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,249853,,,,0
2006,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,172345,,,,0
2006,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,170325,,,,0
2006,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,170876,,,,0
2006,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,147041,,,,0
2006,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,116170,,,,0
2006,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,57099,,,,0
2006,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,94499,,,,0
2006,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,81048,,,,0
2006,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,91237,,,,0
2006,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,77508,,,,0
2006,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,59464,,,,0
2006,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,57579,,,,0
2006,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,49564,,,,0
2006,"Whitchurch-Stouffville (T), Ontario",2021A00053519044,Persons,249,units,0,v1592182766,2174,25424,,,,0
2006,"Georgina (T), Ontario",2021A00053519070,Persons,249,units,0,v1592182771,2177,44075,,,,0
2006,"East Gwillimbury (T), Ontario",2021A00053519054,Persons,249,units,0,v1592182770,2187,21857,,,,0
2006,"King (TP), Ontario",2021A00053519049,Persons,249,units,0,v1592182769,2196,20093,,,,0
2006,"Scugog (TP), Ontario",2021A00053518020,Persons,249,units,0,v1592182759,2212,22195,,,,0
2006,"Uxbridge (TP), Ontario",2021A00053518029,Persons,249,units,0,v1592182761,2214,19878,,,,0
2006,"Brock (TP), Ontario",2021A00053518039,Persons,249,units,0,v1592182762,2255,12358,,,,0
2007,Canada,2021A00001124,Persons,249,units,0,v1592180531,1,32888886,,,,0
2007,Ontario,2021A000235,Persons,249,units,0,v1592180537,2130,12765133,,,,0
2007,"Toronto (C), Ontario",2021A00053520005,Persons,249,units,0,v1592182773,2132,2613670,,,,0
2007,"Mississauga (CY), Ontario",2021A00053521005,Persons,249,units,0,v1592182774,2134,707544,,,,0
2007,"Brampton (CY), Ontario",2021A00053521010,Persons,249,units,0,v1592182775,2135,476703,,,,0
2007,"Markham (CY), Ontario",2021A00053519036,Persons,249,units,0,v1592182764,2138,282968,,,,0
2007,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,259718,,,,0
2007,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,176233,,,,0
2007,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,177244,,,,0
2007,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,171989,,,,0
2007,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,147099,,,,0
2007,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,118582,,,,0
2007,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,61763,,,,0
2007,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,99929,,,,0
2007,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,82469,,,,0
2007,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,91326,,,,0
2007,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,78271,,,,0
2007,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,60355,,,,0
2007,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,58290,,,,0
2007,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,50464,,,,0
2007,"Whitchurch-Stouffville (T), Ontario",2021A00053519044,Persons,249,units,0,v1592182766,2174,28020,,,,0
2007,"Georgina (T), Ontario",2021A00053519070,Persons,249,units,0,v1592182771,2177,43980,,,,0
2007,"East Gwillimbury (T), Ontario",2021A00053519054,Persons,249,units,0,v1592182770,2187,21995,,,,0
2007,"King (TP), Ontario",2021A00053519049,Persons,249,units,0,v1592182769,2196,20017,,,,0
2007,"Scugog (TP), Ontario",2021A00053518020,Persons,249,units,0,v1592182759,2212,22261,,,,0
2007,"Uxbridge (TP), Ontario",2021A00053518029,Persons,249,units,0,v1592182761,2214,20319,,,,0
2007,"Brock (TP), Ontario",2021A00053518039,Persons,249,units,0,v1592182762,2255,12093,,,,0
2008,Canada,2021A00001124,Persons,249,units,0,v1592180531,1,33247298,,,,0
2008,Ontario,2021A000235,Persons,249,units,0,v1592180537,2130,12883824,,,,0
2008,"Toronto (C), Ontario",2021A00053520005,Persons,249,units,0,v1592182773,2132,2626790,,,,0
2008,"Mississauga (CY), Ontario",2021A00053521005,Persons,249,units,0,v1592182774,2134,714980,,,,0
2008,"Brampton (CY), Ontario",2021A00053521010,Persons,249,units,0,v1592182775,2135,496543,,,,0
2008,"Markham (CY), Ontario",2021A00053519036,Persons,249,units,0,v1592182764,2138,291462,,,,0
2008,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,270544,,,,0
2008,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,180322,,,,0
2008,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,181783,,,,0
2008,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,173570,,,,0
2008,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,148657,,,,0
2008,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,120573,,,,0
2008,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,67601,,,,0
2008,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,104212,,,,0
2008,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,83477,,,,0
2008,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,91399,,,,0
2008,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,79126,,,,0
2008,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,60689,,,,0
2008,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,59044,,,,0
2008,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,51149,,,,0
