csd_code,municipality,region,year,survey_month,bedroom_type,avg_monthly_rent,quality_flag,quality_level,source_table
3519046,Aurora,York,1991,October,Total,619.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1992,October,1 Bedroom,589.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1992,October,2 Bedroom,693.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,1992,October,Studio,454.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1992,October,Total,632.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1993,October,1 Bedroom,617.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1993,October,2 Bedroom,708.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,1993,October,Total,657.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,1994,October,1 Bedroom,633.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1994,October,2 Bedroom,728.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,1994,October,Total,744.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,1995,October,1 Bedroom,666.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1995,October,2 Bedroom,809.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1995,October,Total,738.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,1996,October,1 Bedroom,672.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1996,October,2 Bedroom,811.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1996,October,3 Bedroom,916.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1996,October,Total,798.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1997,October,1 Bedroom,677.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1997,October,2 Bedroom,825.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1997,October,3 Bedroom,846.0,c,Good,rent_history_3519046_aurora
3519046,Aurora,York,1997,October,Studio,509.0,c,Good,rent_history_3519046_aurora
3519046,Aurora,York,1997,October,Total,748.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1998,October,1 Bedroom,689.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1998,October,2 Bedroom,823.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1998,October,Total,762.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1999,October,1 Bedroom,716.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1999,October,2 Bedroom,809.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,1999,October,3 Bedroom,820.0,c,Good,rent_history_3519046_aurora
3519046,Aurora,York,1999,October,Studio,505.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1999,October,Total,751.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2000,October,1 Bedroom,754.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2000,October,2 Bedroom,892.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2000,October,Studio,528.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2000,October,Total,816.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2001,October,1 Bedroom,760.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2001,October,2 Bedroom,871.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2001,October,3 Bedroom,959.0,d,Poor - use with caution,rent_history_3519046_aurora
3519046,Aurora,York,2001,October,Total,818.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2002,October,1 Bedroom,780.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2002,October,2 Bedroom,925.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2002,October,3 Bedroom,849.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2002,October,Studio,539.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2002,October,Total,845.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2003,October,1 Bedroom,810.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2003,October,2 Bedroom,979.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2003,October,Total,892.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2004,October,1 Bedroom,816.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2004,October,2 Bedroom,955.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2004,October,Studio,612.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2004,October,Total,884.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2005,October,1 Bedroom,794.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2005,October,2 Bedroom,929.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2005,October,Studio,587.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2005,October,Total,851.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2006,October,1 Bedroom,848.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2006,October,3 Bedroom,1251.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2006,October,Total,1102.0,d,Poor - use with caution,rent_history_3519046_aurora
3519046,Aurora,York,2007,October,1 Bedroom,867.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2007,October,2 Bedroom,1029.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2007,October,3 Bedroom,1221.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2007,October,Total,1048.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2008,October,1 Bedroom,902.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2008,October,2 Bedroom,1046.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2008,October,3 Bedroom,1279.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2008,October,Total,1073.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2009,October,1 Bedroom,908.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2009,October,2 Bedroom,1024.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2009,October,Total,1122.0,c,Good,rent_history_3519046_aurora
3519046,Aurora,York,2010,October,1 Bedroom,912.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2010,October,2 Bedroom,1083.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2010,October,3 Bedroom,1291.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2010,October,Total,1119.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2011,October,1 Bedroom,930.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2011,October,2 Bedroom,1094.0,c,Good,rent_history_3519046_aurora
3519046,Aurora,York,2011,October,Total,1078.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2012,October,1 Bedroom,989.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2012,October,2 Bedroom,1156.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2012,October,Total,1102.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2013,October,1 Bedroom,1002.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2013,October,2 Bedroom,1190.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2013,October,3 Bedroom,1329.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2013,October,Total,1144.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2014,October,1 Bedroom,1036.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2014,October,2 Bedroom,1228.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2014,October,Total,1214.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2015,October,1 Bedroom,1112.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2015,October,2 Bedroom,1299.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2015,October,Total,1215.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2016,October,1 Bedroom,1076.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2016,October,2 Bedroom,1270.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2016,October,Total,1286.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,2017,October,1 Bedroom,1200.0,b,Very good,rent_history_3519046_aurora
3519046,Aurora,York,2017,October,2 Bedroom,1402.0,a,Excellent,rent_history_3519046_aurora
