csd_code,municipality,survey_period,bedroom_type,value,reliability
3521005,Mississauga,2004 October,2 Bedroom,5.6,a
3521005,Mississauga,2004 October,3 Bedroom +,4.3,a
3521005,Mississauga,2004 October,Total,5.1,a
3521005,Mississauga,2005 October,Studio,4.0,c
3521005,Mississauga,2005 October,1 Bedroom,4.4,b
3521005,Mississauga,2005 October,2 Bedroom,4.4,a
3521005,Mississauga,2005 October,3 Bedroom +,5.1,a
3521005,Mississauga,2005 October,Total,4.5,a
3521005,Mississauga,2006 October,Studio,2.7,c
3521005,Mississauga,2006 October,1 Bedroom,3.3,b
3521005,Mississauga,2006 October,2 Bedroom,2.6,a
3521005,Mississauga,2006 October,3 Bedroom +,2.4,a
3521005,Mississauga,2006 October,Total,2.8,a
3521005,Mississauga,2007 October,Studio,2.6,c
3521005,Mississauga,2007 October,1 Bedroom,2.7,a
3521005,Mississauga,2007 October,2 Bedroom,2.7,a
3521005,Mississauga,2007 October,3 Bedroom +,3.3,b
3521005,Mississauga,2007 October,Total,2.8,a
3521005,Mississauga,2008 October,Studio,3.0,c
3521005,Mississauga,2008 October,1 Bedroom,2.4,a
3521005,Mississauga,2008 October,2 Bedroom,1.9,a
3521005,Mississauga,2008 October,3 Bedroom +,2.0,a
3521005,Mississauga,2008 October,Total,2.1,a
3521005,Mississauga,2009 October,Studio,3.1,d
3521005,Mississauga,2009 October,1 Bedroom,3.4,a
3521005,Mississauga,2009 October,2 Bedroom,2.8,a
3521005,Mississauga,2009 October,3 Bedroom +,2.5,a
3521005,Mississauga,2009 October,Total,3.0,a
3521005,Mississauga,2010 October,Studio,1.6,c
3521005,Mississauga,2010 October,1 Bedroom,2.1,a
3521005,Mississauga,2010 October,2 Bedroom,1.6,a
3521005,Mississauga,2010 October,3 Bedroom +,1.3,a
3521005,Mississauga,2010 October,Total,1.8,a
3521005,Mississauga,2011 October,Studio,3.9,c
3521005,Mississauga,2011 October,1 Bedroom,1.0,a
3521005,Mississauga,2011 October,2 Bedroom,1.4,a
3521005,Mississauga,2011 October,3 Bedroom +,1.5,a
3521005,Mississauga,2011 October,Total,1.4,a
3521005,Mississauga,2012 October,Studio,2.2,c
3521005,Mississauga,2012 October,1 Bedroom,1.7,a
3521005,Mississauga,2012 October,2 Bedroom,1.9,a
3521005,Mississauga,2012 October,3 Bedroom +,1.4,a
3521005,Mississauga,2012 October,Total,1.7,a
3521005,Mississauga,2013 October,Studio,2.6,c
3521005,Mississauga,2013 October,1 Bedroom,2.3,a
3521005,Mississauga,2013 October,2 Bedroom,2.2,a
3521005,Mississauga,2013 October,3 Bedroom +,2.3,a
3521005,Mississauga,2013 October,Total,2.3,a
3521005,Mississauga,2014 October,Studio,2.7,c
3521005,Mississauga,2014 October,1 Bedroom,1.5,a
3521005,Mississauga,2014 October,2 Bedroom,1.6,a
3521005,Mississauga,2014 October,3 Bedroom +,2.8,a
3521005,Mississauga,2014 October,Total,1.8,a
3521005,Mississauga,2015 October,Studio,2.9,c
3521005,Mississauga,2015 October,1 Bedroom,1.5,a
3521005,Mississauga,2015 October,2 Bedroom,1.8,a
3521005,Mississauga,2015 October,3 Bedroom +,1.2,a
3521005,Mississauga,2015 October,Total,1.6,a
3521005,Mississauga,2016 October,Studio,0.7,a
3521005,Mississauga,2016 October,1 Bedroom,1.4,a
3521005,Mississauga,2016 October,2 Bedroom,1.5,a
3521005,Mississauga,2016 October,3 Bedroom +,1.6,a
3521005,Mississauga,2016 October,Total,1.4,a
3521005,Mississauga,2017 October,Studio,2.3,c
3521005,Mississauga,2017 October,1 Bedroom,0.8,a
3521005,Mississauga,2017 October,2 Bedroom,0.9,a
3521005,Mississauga,2017 October,3 Bedroom +,1.1,a
3521005,Mississauga,2017 October,Total,0.9,a
3521005,Mississauga,2018 October,Studio,0.6,b
3521005,Mississauga,2018 October,1 Bedroom,0.7,a
3521005,Mississauga,2018 October,2 Bedroom,0.8,a
3521005,Mississauga,2018 October,3 Bedroom +,0.7,a
3521005,Mississauga,2018 October,Total,0.8,a
3521005,Mississauga,2019 October,Studio,2.1,c
3521005,Mississauga,2019 October,1 Bedroom,1.2,a
3521005,Mississauga,2019 October,2 Bedroom,1.2,a
3521005,Mississauga,2019 October,3 Bedroom +,1.2,a
3521005,Mississauga,2019 October,Total,1.2,a
3521005,Mississauga,2020 October,Studio,2.9,c
3521005,Mississauga,2020 October,1 Bedroom,3.1,a
3521005,Mississauga,2020 October,2 Bedroom,2.0,a
3521005,Mississauga,2020 October,3 Bedroom +,1.7,a
3521005,Mississauga,2020 October,Total,2.4,a
3521005,Mississauga,2021 October,Studio,2.7,c
3521005,Mississauga,2021 October,1 Bedroom,4.6,b
3521005,Mississauga,2021 October,2 Bedroom,3.2,a
3521005,Mississauga,2021 October,3 Bedroom +,2.2,a
3521005,Mississauga,2021 October,Total,3.5,a
3521005,Mississauga,2022 October,Studio,1.2,a
3521005,Mississauga,2022 October,1 Bedroom,1.7,a
3521005,Mississauga,2022 October,2 Bedroom,1.4,a
3521005,Mississauga,2022 October,3 Bedroom +,1.2,a
3521005,Mississauga,2022 October,Total,1.5,a
3521005,Mississauga,2023 October,Studio,**,
3521005,Mississauga,2023 October,1 Bedroom,1.9,a
3521005,Mississauga,2023 October,2 Bedroom,1.6,a
3521005,Mississauga,2023 October,3 Bedroom +,**,
3521005,Mississauga,2023 October,Total,1.8,a
3521005,Mississauga,2024 October,Studio,1.4,a
3521005,Mississauga,2024 October,1 Bedroom,5.9,c
3521005,Mississauga,2024 October,2 Bedroom,3.2,b
3521005,Mississauga,2024 October,3 Bedroom +,1.1,a
3521005,Mississauga,2024 October,Total,3.9,b
3521005,Mississauga,2025 October,Studio,5.8,d
3521005,Mississauga,2025 October,1 Bedroom,4.6,b
3521005,Mississauga,2025 October,2 Bedroom,3.4,b
3521005,Mississauga,2025 October,3 Bedroom +,2.5,a
3521005,Mississauga,2025 October,Total,3.8,a
3521010,Brampton,1990 October,Studio,0.0,b
3521010,Brampton,1990 October,1 Bedroom,1.1,a
3521010,Brampton,1990 October,2 Bedroom,1.1,a
3521010,Brampton,1990 October,3 Bedroom +,1.5,a
3521010,Brampton,1990 October,Total,1.1,a
3521010,Brampton,1991 October,Studio,1.9,b
3521010,Brampton,1991 October,1 Bedroom,5.3,a
3521010,Brampton,1991 October,2 Bedroom,3.4,c
3521010,Brampton,1991 October,3 Bedroom +,3.1,a
3521010,Brampton,1991 October,Total,3.9,a
3521010,Brampton,1992 October,Studio,7.8,c
3521010,Brampton,1992 October,1 Bedroom,3.3,a
3521010,Brampton,1992 October,2 Bedroom,4.4,a
3521010,Brampton,1992 October,3 Bedroom +,2.6,a
3521010,Brampton,1992 October,Total,3.8,a
3521010,Brampton,1993 October,Studio,3.4,d
3521010,Brampton,1993 October,1 Bedroom,0.8,a
3521010,Brampton,1993 October,2 Bedroom,1.5,a
3521010,Brampton,1993 October,3 Bedroom +,2.2,a
3521010,Brampton,1993 October,Total,1.4,a
3521010,Brampton,1994 October,Studio,2.5,b
3521010,Brampton,1994 October,1 Bedroom,0.8,a
3521010,Brampton,1994 October,2 Bedroom,1.3,a
3521010,Brampton,1994 October,3 Bedroom +,1.4,a
3521010,Brampton,1994 October,Total,1.2,a
3521010,Brampton,1995 October,Studio,0.4,b
3521010,Brampton,1995 October,1 Bedroom,1.0,a
3521010,Brampton,1995 October,2 Bedroom,1.1,a
3521010,Brampton,1995 October,3 Bedroom +,1.1,a
3521010,Brampton,1995 October,Total,1.0,a
3521010,Brampton,1996 October,Studio,0.6,b
3521010,Brampton,1996 October,1 Bedroom,0.8,a
3521010,Brampton,1996 October,2 Bedroom,1.9,a
3521010,Brampton,1996 October,3 Bedroom +,1.8,a
3521010,Brampton,1996 October,Total,1.6,a
3521010,Brampton,1997 October,Studio,0.9,a
3521010,Brampton,1997 October,1 Bedroom,0.3,a
3521010,Brampton,1997 October,2 Bedroom,1.2,a
3521010,Brampton,1997 October,3 Bedroom +,0.8,a
3521010,Brampton,1997 October,Total,0.9,a
3521010,Brampton,1998 October,Studio,0.7,a
