csd_code,municipality,survey_period,bedroom_type,value,reliability
3521010,Brampton,2012 October,Total,"1,095",a
3521010,Brampton,2013 October,Studio,755,a
3521010,Brampton,2013 October,1 Bedroom,"1,003",a
3521010,Brampton,2013 October,2 Bedroom,"1,148",a
3521010,Brampton,2013 October,3 Bedroom +,"1,339",a
3521010,Brampton,2013 October,Total,"1,121",a
3521010,Brampton,2014 October,Studio,794,b
3521010,Brampton,2014 October,1 Bedroom,"1,032",a
3521010,Brampton,2014 October,2 Bedroom,"1,195",a
3521010,Brampton,2014 October,3 Bedroom +,"1,374",a
3521010,Brampton,2014 October,Total,"1,167",a
3521010,Brampton,2015 October,Studio,769,a
3521010,Brampton,2015 October,1 Bedroom,"1,049",a
3521010,Brampton,2015 October,2 Bedroom,"1,211",a
3521010,Brampton,2015 October,3 Bedroom +,"1,379",a
3521010,Brampton,2015 October,Total,"1,171",a
3521010,Brampton,2016 October,Studio,788,a
3521010,Brampton,2016 October,1 Bedroom,"1,076",a
3521010,Brampton,2016 October,2 Bedroom,"1,243",a
3521010,Brampton,2016 October,3 Bedroom +,"1,404",a
3521010,Brampton,2016 October,Total,"1,200",a
3521010,Brampton,2017 October,Studio,827,b
3521010,Brampton,2017 October,1 Bedroom,"1,121",a
3521010,Brampton,2017 October,2 Bedroom,"1,285",a
3521010,Brampton,2017 October,3 Bedroom +,"1,438",a
3521010,Brampton,2017 October,Total,"1,250",a
3521010,Brampton,2018 October,Studio,842,a
3521010,Brampton,2018 October,1 Bedroom,"1,160",a
3521010,Brampton,2018 October,2 Bedroom,"1,334",a
3521010,Brampton,2018 October,3 Bedroom +,"1,540",a
3521010,Brampton,2018 October,Total,"1,294",a
3521010,Brampton,2019 October,Studio,917,b
3521010,Brampton,2019 October,1 Bedroom,"1,274",a
3521010,Brampton,2019 October,2 Bedroom,"1,447",a
3521010,Brampton,2019 October,3 Bedroom +,"1,583",a
3521010,Brampton,2019 October,Total,"1,401",a
3521010,Brampton,2020 October,Studio,983,b
3521010,Brampton,2020 October,1 Bedroom,"1,333",a
3521010,Brampton,2020 October,2 Bedroom,"1,515",a
3521010,Brampton,2020 October,3 Bedroom +,"1,649",a
3521010,Brampton,2020 October,Total,"1,464",a
3521010,Brampton,2021 October,Studio,963,b
3521010,Brampton,2021 October,1 Bedroom,"1,381",a
3521010,Brampton,2021 October,2 Bedroom,"1,573",a
3521010,Brampton,2021 October,3 Bedroom +,"1,731",a
3521010,Brampton,2021 October,Total,"1,513",a
3521010,Brampton,2022 October,Studio,"1,230",b
3521010,Brampton,2022 October,1 Bedroom,"1,514",a
3521010,Brampton,2022 October,2 Bedroom,"1,689",a
3521010,Brampton,2022 October,3 Bedroom +,"1,864",a
3521010,Brampton,2022 October,Total,"1,644",a
3521010,Brampton,2023 October,Studio,"1,348",c
3521010,Brampton,2023 October,1 Bedroom,"1,622",a
